Time [s],Channel 0
0.000000000,1
0.001230456,0
0.001238472,1
0.001248448,0
0.001250472,1
0.001254448,0
0.001260472,1
0.001262448,0
0.001264472,1
0.001266448,0
0.001267472,1
0.001268448,0
0.001269472,1
0.001270448,0
0.001275472,1
0.001276448,0
0.001280472,1
0.001285448,0
0.001286472,1
0.001291448,0
0.001292472,1
0.001297448,0
0.001298472,1
0.001303448,0
0.001304472,1
0.001309456,0
0.001310472,1
0.001315456,0
0.001316472,1
0.001321456,0
0.001322472,1
0.001327456,0
0.001328472,1
0.001333456,0
0.001334472,1
0.001339456,0
0.001340472,1
0.001345456,0
0.001346472,1
0.001351456,0
0.001352472,1
0.001357456,0
0.001358480,1
0.001363456,0
0.001364480,1
0.001369456,0
0.001370480,1
0.001375456,0
0.001376480,1
0.001381456,0
0.001382480,1
0.001387456,0
0.001388480,1
0.001393456,0
0.001394480,1
0.001399456,0
0.001400480,1
0.001405456,0
0.001406480,1
0.001411456,0
0.001412480,1
0.001417456,0
0.001418480,1
0.001423456,0
0.001426480,1
0.001428456,0
0.001429480,1
0.001433464,0
0.001435480,1
0.001438464,0
0.001440480,1
0.001443464,0
0.001446480,1
0.001448464,0
0.001449480,1
0.001451560,0
0.001453560,1
0.001475664,0
0.001485688,1
0.001487664,0
0.001493688,1
0.001495664,0
0.001497688,1
0.001499664,0
0.001507688,1
0.001509664,0
0.001519688,1
0.001521664,0
0.001531688,1
0.001533664,0
0.001543688,1
0.001545664,0
0.001553688,1
0.001563672,0
0.001565688,1
0.001575672,0
0.001577688,1
0.001587672,0
0.001589696,1
0.001599672,0
0.001601696,1
0.001611672,0
0.001613696,1
0.001623672,0
0.001625696,1
0.001635672,0
0.001637696,1
0.001647672,0
0.001649696,1
0.001659680,0
0.001661696,1
0.001667680,0
0.001673696,1
0.001675680,0
0.001681696,1
0.001683680,0
0.001687696,1
0.001691680,0
0.001693696,1
0.001695680,0
0.001697696,1
0.001699784,0
0.001701784,1
0.101236688,0
0.101244704,1
0.101254680,0
0.101256704,1
0.101260680,0
0.101266704,1
0.101268680,0
0.101270704,1
0.101272680,0
0.101273704,1
0.101274680,0
0.101275704,1
0.101276680,0
0.101281704,1
0.101282680,0
0.101286704,1
0.101291680,0
0.101292704,1
0.101297680,0
0.101298704,1
0.101303680,0
0.101304704,1
0.101309680,0
0.101310704,1
0.101315688,0
0.101316704,1
0.101321688,0
0.101322704,1
0.101327688,0
0.101328704,1
0.101333688,0
0.101334704,1
0.101339688,0
0.101340704,1
0.101345688,0
0.101346704,1
0.101351688,0
0.101352704,1
0.101357688,0
0.101358712,1
0.101363688,0
0.101364712,1
0.101369688,0
0.101370712,1
0.101375688,0
0.101376712,1
0.101381688,0
0.101382712,1
0.101387688,0
0.101388712,1
0.101393688,0
0.101394712,1
0.101399688,0
0.101400712,1
0.101405688,0
0.101406712,1
0.101411688,0
0.101412712,1
0.101417688,0
0.101418712,1
0.101423688,0
0.101424712,1
0.101429696,0
0.101432712,1
0.101434696,0
0.101435712,1
0.101439696,0
0.101441712,1
0.101444696,0
0.101446712,1
0.101449696,0
0.101452712,1
0.101454696,0
0.101455712,1
0.101457768,0
0.101459768,1
0.101481896,0
0.101491920,1
0.101493896,0
0.101499920,1
0.101501896,0
0.101503920,1
0.101505896,0
0.101513920,1
0.101515896,0
0.101525920,1
0.101527896,0
0.101537920,1
0.101539896,0
0.101549920,1
0.101551904,0
0.101559920,1
0.101569904,0
0.101571920,1
0.101581904,0
0.101583920,1
0.101593904,0
0.101595928,1
0.101605904,0
0.101607928,1
0.101617904,0
0.101619928,1
0.101629904,0
0.101631928,1
0.101641904,0
0.101643928,1
0.101653904,0
0.101655928,1
0.101665912,0
0.101667928,1
0.101673912,0
0.101679928,1
0.101681912,0
0.101687928,1
0.101689912,0
0.101693928,1
0.101697912,0
0.101699928,1
0.101701912,0
0.101703928,1
0.101706008,0
0.101708016,1
0.201242920,0
0.201250936,1
0.201260912,0
0.201262936,1
0.201266912,0
0.201272936,1
0.201274912,0
0.201276936,1
0.201278912,0
0.201279936,1
0.201280912,0
0.201281936,1
0.201282912,0
0.201287936,1
0.201288912,0
0.201292936,1
0.201297912,0
0.201298936,1
0.201303912,0
0.201304936,1
0.201309912,0
0.201310936,1
0.201315920,0
0.201316936,1
0.201321920,0
0.201322936,1
0.201327920,0
0.201328936,1
0.201333920,0
0.201334936,1
0.201339920,0
0.201340936,1
0.201345920,0
0.201346936,1
0.201351920,0
0.201352936,1
0.201357920,0
0.201358936,1
0.201363920,0
0.201364944,1
0.201369920,0
0.201370944,1
0.201375920,0
0.201376944,1
0.201381920,0
0.201382944,1
0.201387920,0
0.201388944,1
0.201393920,0
0.201394944,1
0.201399920,0
0.201400944,1
0.201405920,0
0.201406944,1
0.201411920,0
0.201412944,1
0.201417920,0
0.201418944,1
0.201423920,0
0.201424944,1
0.201429920,0
0.201430944,1
0.201435928,0
0.201438944,1
0.201440928,0
0.201441944,1
0.201445928,0
0.201447944,1
0.201450928,0
0.201452944,1
0.201455928,0
0.201458944,1
0.201460928,0
0.201461944,1
0.201463992,0
0.201465992,1
0.201488128,0
0.201498152,1
0.201500128,0
0.201506152,1
0.201508128,0
0.201510152,1
0.201512128,0
0.201520152,1
0.201522128,0
0.201532152,1
0.201534128,0
0.201544152,1
0.201546128,0
0.201556152,1
0.201558128,0
0.201566152,1
0.201576136,0
0.201578152,1
0.201588136,0
0.201590160,1
0.201600136,0
0.201602160,1
0.201612136,0
0.201614160,1
0.201624136,0
0.201626160,1
0.201636136,0
0.201638160,1
0.201648136,0
0.201650160,1
0.201660144,0
0.201662160,1
0.201672144,0
0.201674160,1
0.201680144,0
0.201686160,1
0.201688144,0
0.201694160,1
0.201696144,0
0.201700160,1
0.201704144,0
0.201706160,1
0.201708144,0
0.201710168,1
0.201712256,0
0.201714256,1
0.301251152,0
0.301259168,1
0.301269144,0
0.301271168,1
0.301275144,0
0.301281168,1
0.301283144,0
0.301285168,1
0.301287144,0
0.301288168,1
0.301289144,0
0.301290168,1
0.301291144,0
0.301296168,1
0.301297144,0
0.301301168,1
0.301306144,0
0.301307168,1
0.301312144,0
0.301313168,1
0.301318152,0
0.301319168,1
0.301324152,0
0.301325168,1
0.301330152,0
0.301331168,1
0.301336152,0
0.301337168,1
0.301342152,0
0.301343168,1
0.301348152,0
0.301349168,1
0.301354152,0
0.301355168,1
0.301360152,0
0.301361176,1
0.301366152,0
0.301367176,1
0.301372152,0
0.301373176,1
0.301378152,0
0.301379176,1
0.301384152,0
0.301385176,1
0.301390152,0
0.301391176,1
0.301396152,0
0.301397176,1
0.301402152,0
0.301403176,1
0.301408152,0
0.301409176,1
0.301414152,0
0.301415176,1
0.301420152,0
0.301421176,1
0.301426152,0
0.301427176,1
0.301432152,0
0.301433176,1
0.301438160,0
0.301439176,1
0.301444160,0
0.301447176,1
0.301449160,0
0.301450176,1
0.301454160,0
0.301456176,1
0.301459160,0
0.301461176,1
0.301464160,0
0.301467176,1
0.301469160,0
0.301470176,1
0.301472256,0
0.301474256,1
0.301496360,0
0.301506384,1
0.301508360,0
0.301514384,1
0.301516360,0
0.301518384,1
0.301520360,0
0.301528384,1
0.301530360,0
0.301540384,1
0.301542360,0
0.301552384,1
0.301554360,0
0.301564384,1
0.301566368,0
0.301574384,1
0.301584368,0
0.301586384,1
0.301596368,0
0.301598392,1
0.301608368,0
0.301610392,1
0.301620368,0
0.301622392,1
0.301632368,0
0.301634392,1
0.301644368,0
0.301646392,1
0.301656368,0
0.301658392,1
0.301668376,0
0.301670392,1
0.301680376,0
0.301682392,1
0.301688376,0
0.301694392,1
0.301696376,0
0.301702392,1
0.301704376,0
0.301708400,1
0.301712376,0
0.301714400,1
0.301716376,0
0.301718400,1
0.301720480,0
0.301722480,1
0.401257384,0
0.401265400,1
0.401275376,0
0.401277400,1
0.401281376,0
0.401287400,1
0.401289376,0
0.401291400,1
0.401293376,0
0.401294400,1
0.401295376,0
0.401296400,1
0.401297376,0
0.401302400,1
0.401303376,0
0.401307400,1
0.401312376,0
0.401313400,1
0.401318384,0
0.401319400,1
0.401324384,0
0.401325400,1
0.401330384,0
0.401331400,1
0.401336384,0
0.401337400,1
0.401342384,0
0.401343400,1
0.401348384,0
0.401349400,1
0.401354384,0
0.401355400,1
0.401360384,0
0.401361400,1
0.401366384,0
0.401367408,1
0.401372384,0
0.401373408,1
0.401378384,0
0.401379408,1
0.401384384,0
0.401385408,1
0.401390384,0
